,DR (Both Correct),DR (Only IPW Correct),DR (Only OR Correct),DR (Both Incorrect),Incorrect OR,Incorrect IPW
0,1.9852508619284321,1.9490674661387881,1.9875151627382124,2.005099605304039,2.073754113367928,2.2084871307332996
1,1.9969168199157983,1.9771003781158845,1.9860120993381623,1.9757606272756807,2.0493120258340163,2.1651473179697156
2,2.0119842354518482,2.0184012517946672,2.008990339979859,2.03199701797962,2.0950831317522924,2.243950149003745
3,2.0056507215855497,2.008571587727022,2.0041272865683166,2.0358426704994437,2.088344764010256,2.236335552192558
4,2.0050407514201387,1.9940161842853459,2.0114522972010542,2.0366047023387748,2.10273015490475,2.2432633350141624
5,1.9869294871537206,1.9794075032378762,1.9822197718173524,2.0139725608316086,2.0602666997926544,2.2182889608218463
6,1.989060269336341,1.9451923776311009,1.992862208069242,1.9737627719844997,2.0423047456781207,2.1596712902704356
7,2.0010087556554392,2.0121482841336062,1.9952051110489972,2.015245880582684,2.078644995151358,2.2172215000661146
8,1.9805866184789045,2.0555029755351315,1.984946534742543,2.06049783433729,2.114936316666914,2.273571788645282
9,2.0085202961094257,1.976352085294798,2.0082138002019336,2.013392112899603,2.087826712230707,2.2146691623794856
10,2.011776822917969,2.0595140794977094,2.0074683999825584,2.0659594897478586,2.1240604486883363,2.291169147489111
11,1.9998713374535553,1.9643417163196322,2.0003479313597174,1.9925723230893904,2.063653881741223,2.1829130357503392
12,1.9956985567307728,1.995980321580987,1.9987970199184295,2.0183569825451237,2.0797938078547284,2.2399141836946486
13,1.9951057744163168,1.998860372876597,1.9911664323655371,2.029803956060943,2.084555512718867,2.230117632629614
14,2.013331080685988,2.0370805730893218,2.0058814188772063,2.02891078155339,2.079837920231161,2.2499173623832465
15,2.0033265813225967,2.0176967014528064,1.9983773652062216,2.047769079618716,2.1043987594004476,2.264094594866259
16,2.005886726298274,2.0282447610365186,2.0057537181344207,2.046280269090709,2.1154196197076636,2.2608674362011807
17,2.000429167628419,1.9818850017091914,2.003248763434258,2.0031423307602627,2.0754424191577048,2.205706634184002
18,2.0030169770352466,2.018724443865354,2.0032837813810795,2.021294824159318,2.0881077497114298,2.2333642452981564
19,1.9941154135490582,1.950503512030236,1.996641331262541,1.9516160750070948,2.0304212257098073,2.116527983472275
20,1.9963039492051198,2.0130923506402194,2.002862198104691,2.04960394931394,2.1140640352206597,2.260944653423245
21,2.0053079713842026,2.0020554565201167,2.0039715237342377,2.0007471910511185,2.0666354558987408,2.20532746378042
22,1.9860811050392728,2.0075423380464383,1.9946460315695143,2.018200627134739,2.0938488382811014,2.221235361434046
23,1.9843792346063482,2.010021147345281,1.9924864004242808,2.0354403597947646,2.0909439385310247,2.2500180991384036
24,1.9912947823925502,2.066078134400787,1.9918625733786293,2.04835077469711,2.111541958430429,2.2674322639124784
25,2.0051071184223397,1.9875307062936536,2.0067459424353893,2.0258048887072557,2.0884355190627133,2.208382792993853
26,1.984710318013358,2.0137181180397405,1.9892777402864161,2.0244162811800566,2.0818896225909507,2.2099104458264764
27,2.0241254357271212,2.0136219869426575,2.0244602681842006,2.0208233784005336,2.0966501330925285,2.233094103719295
28,2.001639205692489,1.97608301660285,1.9979854002562436,2.0263009991577197,2.099420359387685,2.2281809268477053
29,2.0035406641805764,1.9931754992981765,2.0006617318893625,2.020482062650294,2.0841284337992314,2.22113160875542
30,1.9961728618958434,2.0040166524232057,1.9981509281871543,2.0055517607646247,2.0681531652881935,2.2050941875088568
31,1.9869032545158651,1.9996090925949384,1.987244217401349,2.030539995602075,2.0857996289799643,2.234180871868547
32,2.0116235076570423,1.9854582595203525,2.0091027069082372,2.0064421569554782,2.0769602913074485,2.2120346647938924
33,1.9909538434141334,1.9815076085072902,2.00445056667116,1.9995453413451398,2.0725725577164855,2.197456411344569
34,1.996204583717278,2.0270877112107715,1.993352330858275,2.0477525105759096,2.103933059211105,2.2703476110906293
35,2.0158359071284764,2.0490825065649863,2.0103041844532625,2.04188313579879,2.0969902550649624,2.2592376756092696
36,1.9848450396898418,1.9561929877671418,1.989611391484003,2.025327801452446,2.0840726674548664,2.2161357640772197
37,2.0007639591279065,2.040330761044064,2.0040362834618355,2.0578499717703527,2.1144769287427225,2.2781527697507373
38,2.0052503560085,1.9967794466670312,2.010550022799764,2.003097710847001,2.069203744300703,2.218912362669536
39,1.9985681606022707,2.0460426040130715,2.0031867142561968,2.04205020954693,2.1063058175055915,2.267489885902118
40,2.0172183722260986,1.997636202259575,2.0173006951782284,2.041079805684526,2.1015703547528455,2.252037001467198
41,2.0103267707405172,1.9975283194232307,2.007870705150663,2.009474195030088,2.0773148264525387,2.1953265185413833
42,1.9933731089980609,2.018960669553878,1.9960904208798422,2.0209987170087937,2.0855601709172102,2.2250164116637974
43,1.9866151564882328,1.9859337215944404,1.995185229066847,1.990050636496644,2.065399770293303,2.19109661039662
44,1.9921110849330563,2.037662302250152,1.9962416976325903,2.0416208204966027,2.0999780679013025,2.2444535018911735
45,2.0308972545518045,2.0007572886767444,2.030639577258098,2.0304722553630175,2.094191591971661,2.234978149044783
46,1.9890824318505766,1.9501525543517857,1.9944134887401568,1.960935365662495,2.0359582848821307,2.1448921628010917
47,1.9903834802992624,2.021917368499788,1.9899849621688066,2.049364798996576,2.106340115281345,2.2548278283503476
48,2.0069001302740648,2.007769364990517,2.0123383059247923,2.0257068605767943,2.0888323591429305,2.22654250546037
49,2.0166233391987163,2.0446717347655525,2.012062205387177,2.0579478521350723,2.1165551956410673,2.2740613216505117
50,1.9958814010503474,2.0384088810804997,2.001467029552924,2.065702043623091,2.130564916476037,2.275969074436814
51,2.000698662898167,2.0307109731563173,2.004518204093291,2.037731256159478,2.099935475056639,2.243071606887778
52,1.9872295121574717,1.9758916818246388,1.9955024817824818,1.9883574857657298,2.0678725358447663,2.1912055154056986
